verbs,questo,quello,lo,cio,sum,questo,quello,lo,cio
bisogna,6,6,6,3,21,28.571428571428573,28.571428571428573,28.571428571428573,14.285714285714286
dimenticare,6,6,14,3,29,20.689655172413794,20.689655172413794,48.275862068965516,10.344827586206897
dovere,6,6,6,3,21,28.571428571428573,28.571428571428573,28.571428571428573,14.285714285714286
ou,7,0,0,0,7,100.0,0.0,0.0,0.0
potere,6,6,8,3,23,26.08695652173913,26.08695652173913,34.78260869565217,13.043478260869565
realizzare,6,6,8,3,23,26.08695652173913,26.08695652173913,34.78260869565217,13.043478260869565
sapere,6,6,8,3,23,26.08695652173913,26.08695652173913,34.78260869565217,13.043478260869565
sentire,6,6,10,3,25,24.0,24.0,40.0,12.0
vedere,6,6,7,3,22,27.272727272727273,27.272727272727273,31.818181818181817,13.636363636363637
volere,6,6,9,3,24,25.0,25.0,37.5,12.5
