verbs,questo,quello,lo,cio,sum,questo,quello,lo,cio
annunciare,12,7,219,3,241,4.979253112033195,2.904564315352697,90.87136929460581,1.2448132780082988
bisogna,6,6,6,3,21,28.571428571428573,28.571428571428573,28.571428571428573,14.285714285714286
capire,50,56,3499,3,3608,1.3858093126385809,1.5521064301552105,96.9789356984479,0.08314855875831485
chiedere,26,13,1406,3,1448,1.7955801104972375,0.8977900552486188,97.09944751381215,0.20718232044198895
cominciare,12,7,230,3,252,4.761904761904762,2.7777777777777777,91.26984126984127,1.1904761904761905
confidare,6,6,36,3,51,11.764705882352942,11.764705882352942,70.58823529411765,5.882352941176471
desiderare,8,10,215,3,236,3.389830508474576,4.237288135593221,91.10169491525424,1.271186440677966
dimenticare,12,18,688,3,721,1.6643550624133148,2.496532593619972,95.42302357836338,0.4160887656033287
dire,148,53,3541,3,3745,3.951935914552737,1.4152202937249667,94.55273698264352,0.0801068090787717
dispiacere,6,6,12,3,27,22.22222222222222,22.22222222222222,44.44444444444444,11.11111111111111
domandare,17,8,57,3,85,20.0,9.411764705882353,67.05882352941177,3.5294117647058822
dovere,7,6,731,3,747,0.9370816599732262,0.8032128514056225,97.85809906291834,0.40160642570281124
immaginare,14,13,496,3,526,2.661596958174905,2.4714828897338403,94.29657794676807,0.5703422053231939
informare,10,6,115,3,134,7.462686567164179,4.477611940298507,85.82089552238806,2.2388059701492535
iniziare,23,6,322,3,354,6.497175141242938,1.694915254237288,90.96045197740114,0.847457627118644
paura,6,6,49,3,64,9.375,9.375,76.5625,4.6875
potere,7,6,737,3,753,0.9296148738379814,0.796812749003984,97.87516600265604,0.398406374501992
preoccuparsi,6,6,6,3,21,28.571428571428573,28.571428571428573,28.571428571428573,14.285714285714286
promettere,7,7,388,3,405,1.728395061728395,1.728395061728395,95.80246913580247,0.7407407407407407
raccontare,19,25,662,3,709,2.6798307475317347,3.5260930888575457,93.37094499294781,0.4231311706629055
realizzare,53,15,449,3,520,10.192307692307692,2.8846153846153846,86.34615384615384,0.5769230769230769
riferire,6,8,149,3,166,3.6144578313253013,4.819277108433735,89.75903614457832,1.8072289156626506
sapere,50,50,1165,3,1268,3.943217665615142,3.943217665615142,91.8769716088328,0.23659305993690852
sentire,58,20,2055,3,2136,2.715355805243446,0.9363295880149812,96.20786516853933,0.1404494382022472
sperare,7,7,98,3,115,6.086956521739131,6.086956521739131,85.21739130434783,2.608695652173913
temere,9,6,47,3,65,13.846153846153847,9.23076923076923,72.3076923076923,4.615384615384615
vedere,74,48,814,3,939,7.880724174653887,5.111821086261981,86.68796592119276,0.3194888178913738
volere,24,18,1408,3,1453,1.6517549896765313,1.2388162422573985,96.9029593943565,0.20646937370956642
