verbs,questo,quello,lo,cio,sum,questo,quello,lo,cio
chiedere,26,13,1406,3,1448,1.7955801104972375,0.8977900552486188,97.09944751381215,0.20718232044198895
finire,19,9,523,3,554,3.4296028880866425,1.6245487364620939,94.4043321299639,0.5415162454873647
concludere,27,7,182,3,219,12.32876712328767,3.1963470319634704,83.10502283105023,1.36986301369863
indurre,8,6,353,3,370,2.1621621621621623,1.6216216216216217,95.4054054054054,0.8108108108108109
smettere,8,6,48,3,65,12.307692307692308,9.23076923076923,73.84615384615384,4.615384615384615
sembrare,10,44,202,3,259,3.861003861003861,16.98841698841699,77.99227799227799,1.1583011583011582
ordinare,6,8,267,3,284,2.112676056338028,2.816901408450704,94.01408450704226,1.056338028169014
continuare,17,6,231,3,257,6.614785992217898,2.3346303501945527,89.88326848249027,1.1673151750972763
pensare,39,21,1008,3,1071,3.641456582633053,1.9607843137254901,94.11764705882354,0.2801120448179272
credere,10,9,427,3,449,2.2271714922048997,2.0044543429844097,95.10022271714922,0.6681514476614699
pregare,6,6,110,3,125,4.8,4.8,88.0,2.4
richiedere,11,8,459,3,481,2.286902286902287,1.6632016632016633,95.42619542619542,0.6237006237006237
