verbs,questo,quello,lo,cio,sum,questo,quello,lo,cio
dubitare,6,6,11,3,26,23.076923076923077,23.076923076923077,42.30769230769231,11.538461538461538
fingere,6,6,19,3,34,17.647058823529413,17.647058823529413,55.88235294117647,8.823529411764707
osare,6,6,24,3,39,15.384615384615385,15.384615384615385,61.53846153846154,7.6923076923076925
ou,21,0,0,0,21,100.0,0.0,0.0,0.0
provare,25,14,1035,3,1077,2.3212627669452184,1.2999071494893222,96.10027855153203,0.2785515320334262
ricordare,51,59,504,3,617,8.26580226904376,9.562398703403566,81.68557536466774,0.4862236628849271
rinunciare,6,6,61,3,76,7.894736842105263,7.894736842105263,80.26315789473684,3.9473684210526314
supporre,6,6,25,3,40,15.0,15.0,62.5,7.5
tentare,6,8,159,3,176,3.409090909090909,4.545454545454546,90.3409090909091,1.7045454545454546
verbs,questo,quello,lo,cio,sum,questo,quello,lo,cio
cercare,15,17,689,3,724,2.0718232044198897,2.3480662983425415,95.1657458563536,0.4143646408839779
dubitare,6,6,11,3,26,23.076923076923077,23.076923076923077,42.30769230769231,11.538461538461538
fingere,6,6,19,3,34,17.647058823529413,17.647058823529413,55.88235294117647,8.823529411764707
osare,6,6,24,3,39,15.384615384615385,15.384615384615385,61.53846153846154,7.6923076923076925
ou,21,0,0,0,21,100.0,0.0,0.0,0.0
output_acer_la,31,0,0,0,31,100.0,0.0,0.0,0.0
provare,25,14,1035,3,1077,2.3212627669452184,1.2999071494893222,96.10027855153203,0.2785515320334262
ricordare,51,59,504,3,617,8.26580226904376,9.562398703403566,81.68557536466774,0.4862236628849271
rinunciare,6,6,61,3,76,7.894736842105263,7.894736842105263,80.26315789473684,3.9473684210526314
riuscire,6,6,197,3,212,2.830188679245283,2.830188679245283,92.9245283018868,1.4150943396226414
supporre,6,6,25,3,40,15.0,15.0,62.5,7.5
tentare,6,8,159,3,176,3.409090909090909,4.545454545454546,90.3409090909091,1.7045454545454546
